stop words
что
это
так
вот
быть
будет
было
бывает
более
как
бы
на
от
На
и
у
с
же
в
—
к
пока
было
даст
данной
данным
данном
данная
дает
дать
для
при
по
мой
моя
моей
они
их
мне
мою
своей
свою
свой
свои
ему
о
ней
него
которые
каком
какие
какой
некий
некой
кто-то
кому
которых
который
я
Я
мы
меня
мне
Мне
есть
чему
из
за
из-за
т.д.
т. д.
т.д
т. д
/
или
и/или
тому
иному
все
всё
со
